email_text,status_label
"Final round interview is scheduled for next Wednesday at 2 PM.",interview scheduled
"Congratulations! We’d like to offer you the Director of Marketing position.",offer
"Technical interview scheduled with our engineering team for Tuesday.",interview scheduled
"We’ll provide status updates once the review process is complete.",no response
"We’ve received your materials and will respond within the next few days.",no response
"We’d like to arrange a phone screen – when are you free?",request for availability
"Can you provide three time slots that work for you next week?",request for availability
"Could we schedule a short conversation about your application?",request for availability
"After careful review, we’ve decided to proceed with other applicants.",rejected
"We regret to inform you that we've chosen to move forward with other candidates.",rejected
"We are excited to offer you the position of Software Engineer.",offer
"Behavioral interview scheduled for Thursday at 11 AM.",interview scheduled
"Round 2 interviews will take place on April 1st – please confirm attendance.",interview scheduled
"Unfortunately, your experience does not align with our current needs.",rejected
"We’re delighted to extend an offer for the Consultant role.",offer
"We are pleased to offer you the Product Manager role.",offer
"We’d like to schedule a follow-up discussion – when would you be available?",request for availability
"Could you please share your availability for a quick call next week?",request for availability
"Would you have time for a quick call to discuss next steps?",request for availability
"We appreciate your patience while we review all applications.",no response
"Are you available for a brief phone interview on Monday afternoon?",request for availability
"The hiring committee has approved your offer package.",offer
"Welcome to the team! Your offer letter is attached.",offer
"Case study presentation confirmed for Friday morning.",interview scheduled
"Panel interview scheduled with the leadership team for Wednesday afternoon.",interview scheduled
"Thank you for your submission – we’ll contact shortlisted candidates soon.",no response
"Your application was considered carefully, but we’ve decided to go with another candidate.",rejected
"Please confirm your availability for a panel interview next week.",request for availability
"Your onsite interview is confirmed for Friday at 10:00 AM.",interview scheduled
"Your offer package has been approved – welcome aboard!",offer
"Onsite interviews will be held next week at our headquarters.",interview scheduled
"We’ve received your application and will get back to you soon.",no response
"Application status updates will be sent next week – thank you for your patience.",no response
"Thank you for your interest, but we won't be moving forward with your application.",rejected
"After discussion with the team, we’re pleased to present you with an offer.",offer
"While you have strong qualifications, we've decided to move in a different direction.",rejected
"Congratulations! Attached is your formal offer letter.",offer
"Would you be available for a 30-minute Zoom meeting on Thursday?",request for availability
"We’re thrilled to extend an offer for the Senior Developer position.",offer
"We're grateful for your application, but we've filled the role with another candidate.",rejected
"Your final interview is set for Thursday at 3 PM EST.",interview scheduled
"Your application has been received – we’ll be in touch soon.",no response
"We’ve opted to proceed with candidates whose experience better matches the role.",rejected
"While your background is impressive, we’ve selected another candidate.",rejected
"Please let us know your availability for a technical assessment.",request for availability
"Thank you for applying – we are currently reviewing candidates.",no response
"Your application is under review – expect to hear back shortly.",no response
"We are still reviewing applications – we appreciate your interest.",no response
"Group interview scheduled with the hiring manager and two team members.",interview scheduled
"We appreciate your interest, but we’ve decided to move forward with other candidates.",rejected
"Thank you for your application. Our team is currently reviewing all submissions.",no response
"Can you confirm your availability for a 30-minute call next week?",request for availability
"Your technical interview is confirmed for Wednesday at 10 AM.",interview scheduled
"We’re thrilled to offer you the position of Product Manager!",offer
"After careful consideration, we have decided to move forward with other applicants.",rejected
"Your application is being reviewed. We'll reach out with next steps soon.",no response
